adult,banknote,boston,breast_cancer,Demographics,digits5,gdp,GenderRecognition,IBM_HR,insurance,iris,liver,load_diabetes,load_wine,magic,make_friedman1,make_friedman2,make_friedman3,mobile_prices,red_wine_quality,suicide_rates_cleaned,telco_churn,tic-tac-toe,titanic,used_cars,videogamesales,wage,who_life_expectancy,world_happiness_indicator
0.784022504,0.847552859,21.41163267,0.528748618,4.414192185,0.169802605,0.21668414,0.533700862,0.978116717,36748277.83,0.658460859,0.873422798,2855.894554,0.536954776,0.899554735,6.192342241,31299.03998,0.042266081,0.258175336,0.466267846,202.1949685,0.941128509,0.872984693,0.876337227,20360561.24,2.404758225,746182387.7,19.95098147,1.14620973
0.78426393,0.850117147,19.94612599,0.528802059,4.416532145,0.168587637,0.211436847,0.533747353,0.978911175,37057753.11,0.650489105,0.877554382,2866.155777,0.529271279,0.898038034,6.191152206,37308.04051,0.045230583,0.243358563,0.460594495,199.2309844,0.941828045,0.867142036,0.880849541,18390330.49,2.402915467,740978022.5,19.52304032,1.148148515
0.781394174,0.84320863,20.51735695,0.528866389,4.370529276,0.168587587,0.215742365,0.533199342,0.978813524,36270292.94,0.601480934,0.86161077,2854.582734,0.5177772,0.896876481,6.624017168,34659.52179,0.041214439,0.266421913,0.464697783,199.330209,0.942539151,0.868728618,0.881550335,17442532.34,2.40112603,728950784.7,19.78878631,1.14620973
0.782357228,0.846903607,18.97594188,0.525426999,4.370763723,0.168587601,0.221192641,0.533700572,0.978652983,22070851.44,0.598805704,0.85956989,2778.810555,0.528535141,0.8947733,6.483056161,33725.3306,0.04668634,0.23964809,0.45039441,199.325427,0.938588726,0.869747839,0.881450437,19001630.38,2.401015311,746329801.8,19.22088659,1.152310502
0.785018843,0.848334317,20.36036665,0.524630823,4.313890045,0.162177338,0.209744004,0.533218038,0.978875459,36443284.39,0.607081962,0.867117967,2728.495542,0.528640058,0.895219541,5.127488041,34681.14699,0.041386132,0.239348551,0.458887617,198.9474765,0.940934951,0.865759819,0.880279839,17229296.17,2.391195376,745538305.6,19.38241431,1.144373914
0.782804776,0.848267062,19.94612605,0.519073781,4.358633776,0.168563061,0.215742365,0.533118089,0.978616569,22097036.98,0.630097881,0.857502301,2809.051822,0.53262768,0.895222007,5.364246297,26987.22134,0.045796687,0.240293992,0.458149207,199.0910174,0.94172075,0.866847224,0.878880603,17618781.19,2.39914751,733276715.8,18.27977029,1.137869824
0.780742672,0.84536563,21.40948927,0.520333873,4.280813903,0.167630259,0.214657751,0.531963813,0.978888886,36356323.15,0.608935797,0.85294351,2797.168467,0.530116672,0.894777937,5.684775726,26455.03369,0.037321979,0.23109066,0.447935493,198.2962155,0.939037784,0.854618667,0.878707246,16424565.47,2.401995545,731684841.6,19.07061544,1.156849429
0.779974202,0.84790104,20.13243075,0.52057977,4.280830939,0.167650567,0.209744004,0.531410546,0.979023116,35660834.65,0.630437083,0.857354287,2749.070649,0.522825964,0.88208413,5.066390682,26876.52849,0.040946518,0.234846114,0.442382746,196.8647674,0.941718332,0.866924092,0.878377089,15509273.71,2.392224804,723235892.6,19.22043,1.142620634
0.779845497,0.844437499,18.66494234,0.525205357,4.270598139,0.155192634,0.21692786,0.533026678,0.978635265,35910105.7,0.636957167,0.851807625,2749.385287,0.525808708,0.877286373,4.916089748,25824.6106,0.044377611,0.231572016,0.455155432,196.8672842,0.943974746,0.853962193,0.879224166,14367501.94,2.398751403,723279038.5,18.87093407,1.136454409
0.779686531,0.846261653,18.50388077,0.519998859,4.257631947,0.162956603,0.224857466,0.531822063,0.979108529,35781680.3,0.634680898,0.853735128,2712.845574,0.5257476,0.881271792,5.353091479,27851.33141,0.040751278,0.224663647,0.436073814,198.6005157,0.942133681,0.859585389,0.882103422,15414117.95,2.398753571,721763350.4,16.84242213,1.14620973
